,estimate,se,z-score,p-value,ci_0.025,ci_0.975,I^2,p(Q),p_fdr
7Networks_RH_SalVentAttn_TempOccPar_1,-0.22570018399041036,0.029669666242330767,-7.607102221743091,2.7977620220553945e-14,-0.28385166125870254,-0.16754870672211822,32.16479758295272,0.1711985947679547,5.595524044110789e-13
7Networks_RH_SalVentAttn_TempOccPar_2,-0.13983517864311415,0.05419613881391028,-2.5801686559859367,0.00987520728070812,-0.2460576588195116,-0.03361269846671669,79.26236538321974,1.9140865641379252e-05,0.019420660111996932
7Networks_RH_SalVentAttn_FrOperIns_1,0.05821388243195672,0.034408074639632004,1.6918668958275465,0.09067135514427593,-0.009224704639087998,0.12565246950300143,46.128154997129265,0.07225958778731648,0.14392278594329513
7Networks_RH_SalVentAttn_Med_1,0.07169816420076336,0.04697020231663165,1.5264606210856324,0.12689519030870988,-0.020361740686394486,0.1637580690879212,71.9721853459588,0.0007665229491806018,0.19226543986168163
7Networks_RH_SalVentAttn_Med_2,0.00035146139554817084,0.05520126321224141,0.006366908565060354,0.9949199762778491,-0.1078410264015608,0.10854394919265715,79.95558369073153,1.156610163665011e-05,0.9970848399135375
7Networks_RH_Limbic_OFC_1,-0.1521260179363264,0.039913875793368685,-3.811356700208019,0.00013820616640347616,-0.2303557769747341,-0.0738962588979187,60.97899475783388,0.012248015871861502,0.00035437478564993884
7Networks_RH_Limbic_TempPole_1,-0.06549349710560783,0.02686582073427805,-2.437799974673575,0.014776948138622514,-0.11814953815990223,-0.012837456051313416,11.259067834691761,0.3425618751460041,0.02841720795888945
7Networks_RH_Cont_Par_1,-0.23444060867895272,0.03520641098376812,-6.659031753820101,2.7563729076973686e-11,-0.30344390623205364,-0.16543731112585183,51.56127735082922,0.04371343941461342,2.505793552452153e-10
7Networks_RH_Cont_Par_2,-0.19209867290618854,0.031830261032388556,-6.035095744603555,1.5886846282953115e-09,-0.25448483814817885,-0.12971250766419826,39.883905882061875,0.11288583650429983,9.345203695854774e-09
7Networks_RH_Cont_PFCl_1,-0.2526253153716746,0.024447321533208288,-10.333455754182241,0.0,-0.30054118509523337,-0.20470944564811583,0.0,0.8478160381513051,0.0
7Networks_RH_Cont_PFCl_2,-0.1646746815092624,0.02489074422270897,-6.615900273444701,3.692968153501397e-11,-0.2134596437341704,-0.1158897192843544,0.0,0.5044154492195405,2.840744733462613e-10
7Networks_RH_Cont_PFCl_3,-0.15881588103223093,0.02507272002003668,-6.334210285334594,2.3855994957244775e-10,-0.2079575092659592,-0.10967425279850265,0.0,0.9782524686534558,1.703999639803198e-09
7Networks_RH_Cont_PFCl_4,-0.15724857473351256,0.026680735920926717,-5.893712047506775,3.776149726242295e-09,-0.20954185621955304,-0.10495529324747208,12.791698814038325,0.3302402540190078,1.98744722433805e-08
7Networks_RH_Cont_Cing_1,-0.07783897914470111,0.03831989496960274,-2.0312941673364944,0.042225162704780606,-0.15294459317648007,-0.0027333651129221592,56.913540432407395,0.022958094698924795,0.07280200466341484
7Networks_RH_Cont_PFCmp_1,-0.09085332400527933,0.027562180851868862,-3.2963038916827583,0.0009796598318487781,-0.14487420581032182,-0.036832442200236855,16.122300161182768,0.3031172402157518,0.0021770218485528403
7Networks_RH_Cont_pCun_1,-0.10443047728610885,0.03374279762623613,-3.094896826364828,0.0019688137008283535,-0.1705651453711553,-0.0382958092010624,45.06348508218392,0.07865016769799524,0.004232801866644946
7Networks_RH_Default_Par_1,-0.27943752307267167,0.02418816658052552,-11.552654151871668,0.0,-0.326845458422557,-0.23202958772278628,0.0,0.5703006157132515,0.0
7Networks_RH_Default_Temp_1,-0.09639575865996047,0.03577504500457097,-2.6944972018244564,0.007049491854311585,-0.16651355841421914,-0.02627795890570181,50.91957916058814,0.04670787720234552,0.014386718070023643
7Networks_RH_Default_Temp_2,-0.12488470964479917,0.02502008844632576,-4.991377624931565,5.995016039150869e-07,-0.17392318188960437,-0.07584623739999397,0.0,0.48073419580939925,2.4979233496461957e-06
7Networks_RH_Default_Temp_3,-0.051148116640270205,0.03612688604205914,-1.4157909037807261,0.1568367336017097,-0.1219555121562889,0.01965927887574849,51.628751892234554,0.04340472239955818,0.22683461083238107
7Networks_RH_Default_PFCv_1,-0.10533510297183349,0.029105914535202827,-3.619027426347779,0.0002957123002694795,-0.1623816471979319,-0.04828855874573508,25.941084210336406,0.22181595416265615,0.000721249512852389
7Networks_RH_Default_PFCv_2,-0.14544581334922674,0.028068444887962715,-5.181826564663077,2.1972347896692668e-07,-0.20045895443168105,-0.09043267226677243,19.77325702592434,0.27298694426692877,9.957303358654672e-07
7Networks_RH_Default_PFCdPFCm_1,-0.15497726973714943,0.02501401822153969,-6.195616728371045,5.805724789809119e-10,-0.20400384455999587,-0.10595069491430298,0.0,0.44769806191325867,3.6285779936306994e-09
7Networks_RH_Default_PFCdPFCm_2,-0.18686418753534056,0.024977121561341752,-7.481414024286886,7.349676423018536e-14,-0.23581844623304923,-0.1379099288376319,0.0,0.7842687597696887,1.2249460705030895e-12
7Networks_RH_Default_PFCdPFCm_3,-0.18878881989279134,0.024770784154361597,-7.621430904905355,2.5091040356528538e-14,-0.23733866470415552,-0.14023897508142716,0.0,0.9144194328079867,5.595524044110789e-13
7Networks_RH_Default_pCunPCC_1,-0.14489766440439222,0.025019761560032133,-5.79132874854648,6.983173816976773e-09,-0.1939354959638349,-0.09585983284494956,0.0,0.6680140050679859,3.325320865227035e-08
7Networks_RH_Default_pCunPCC_2,-0.11528634487088522,0.030225852516874884,-3.8141635477947777,0.00013664495745691063,-0.17452792720597934,-0.056044762535791104,30.418225208996315,0.18519285219374512,0.00035437478564993884
